filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0000_101_000_30s,0.31860703,0.030058261,1753.2563509083384,1856.4782001947942,3216.0472196691176,0.03332746287248452,-384.1044,159.57564,-13.533934,4.1568675,-2.8668063,-20.229017,-14.508616,-23.606176,-15.212736,-11.060722,-19.498022,-11.851375,-5.863056,-5.2076216,0.9322124,-6.8812885,-14.545475,-7.373341,-9.856986,-13.701583,1
0001_101_010_30s,0.29061618,0.031881373,1369.2967784847658,1639.6855518706284,2508.7348300237036,0.03372258519978715,-357.2855,169.4037,-16.718987,2.567938,-3.638343,-22.14153,-14.761442,-23.047855,-15.6955,-13.122724,-19.888193,-8.82503,-4.2823987,-6.3424053,1.3388917,-5.7943835,-16.619617,-9.848108,-9.580418,-13.464499,1
0002_101_020_30s,0.28313693,0.037742108,1367.8731964187998,1571.7124534954717,2512.8431385146573,0.03530987718895124,-349.64175,171.26851,-24.00334,-1.5595046,-1.905309,-25.527979,-20.163378,-24.6367,-18.1007,-16.631968,-21.831602,-10.624104,-5.9748588,-7.1700525,0.050079297,-6.865687,-17.335167,-10.391975,-8.680845,-12.99675,1
0003_101_030_30s,0.28640115,0.04127643,1258.2380043207422,1454.532280485451,2299.3610960780284,0.033997526847910214,-346.43954,180.62689,-17.16239,-2.6060622,3.1259668,-20.187761,-17.957691,-21.869764,-17.031193,-14.706966,-17.866192,-6.8247313,-4.221506,-6.889385,2.2070332,-4.634343,-15.978193,-6.844511,-6.3140383,-13.830784,1
0004_101_040_30s,0.29629457,0.037777834,1189.8717725192037,1450.6728812336291,2089.5873645510837,0.031380384699109906,-358.2046,179.68703,-7.887644,-5.116406,0.12935191,-18.01348,-17.862974,-24.284136,-18.644623,-14.323898,-17.674196,-8.114536,-6.2680306,-8.443713,1.0806879,-6.3335133,-17.5834,-7.6451387,-7.4591265,-15.76441,1
0005_101_050_30s,0.31202716,0.03158062,1139.9060148013905,1381.0830186658425,1954.3465156673278,0.03140230444562694,-377.41394,198.13371,-10.280366,-4.736069,-1.5205665,-14.446534,-15.892681,-22.67053,-15.154155,-13.058255,-16.219189,-7.7606373,-5.4940166,-10.656093,1.6850265,-3.0124707,-20.535765,-6.6768885,-5.1762786,-17.772488,1
0006_101_060_30s,0.31539756,0.03636023,1252.623954293801,1459.3601658342477,2237.6781357331174,0.03652283281733746,-359.016,187.95312,-13.385512,-2.399367,-3.2764175,-16.17185,-13.455828,-19.800999,-12.315311,-14.086456,-16.061752,-7.930029,-10.96906,-11.394168,-2.9814556,-11.514876,-19.279633,-5.237581,-4.4483953,-14.287484,1
0007_101_070_30s,0.30958948,0.037791543,1326.173218012277,1474.71193105515,2407.777107167908,0.04106683406298375,-355.0622,185.38557,-16.23311,-0.33463988,-4.681537,-19.35932,-11.574114,-16.54303,-12.656514,-14.844594,-14.840724,-7.778071,-11.906252,-12.209849,-4.584689,-12.830535,-18.164846,-2.57082,-2.1141195,-12.569975,1
0008_101_080_30s,0.3248983,0.04260504,1458.3820573106686,1584.897591659878,2800.2247340907993,0.045057928599071206,-333.08658,186.31783,-30.125725,7.4064617,-0.58247,-22.3024,-13.8197155,-18.146923,-12.46905,-18.828983,-14.065336,-3.2131324,-14.702732,-10.642658,0.18151818,-15.030545,-16.939749,0.27457237,-4.7414746,-11.772818,1
0009_101_090_30s,0.3320706,0.042328924,1363.4870295521682,1528.652110703308,2581.9760538107103,0.0400730758997678,-327.97815,184.39787,-18.840145,2.073449,1.8078927,-19.393717,-12.52234,-18.287817,-16.036118,-17.505663,-14.682076,-4.563785,-10.756325,-5.3207607,3.484616,-12.529226,-15.827238,-2.4306777,-5.764063,-11.951482,1
