filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0000_101_000_30s,0.23417379,0.09579704,2310.939807932764,1718.0087732485972,4034.408937814435,0.04444001850328947,-392.8831,117.823975,-24.459517,-5.217364,10.22964,-25.782629,-13.32541,9.348183,-14.884923,-26.613214,-2.6359942,-2.1821527,-18.449778,-12.256162,-9.508302,-11.793986,2.5731416,9.379346,5.178037,8.990522,1
0001_101_010_30s,0.19609886,0.11851917,1201.7993886074794,1156.9224248839348,2195.4783909092007,0.03402152519107972,-347.8318,150.28857,-26.830942,-2.234331,17.39215,-29.024864,-17.712736,7.0219607,-20.481522,-31.768787,-3.4010906,-2.3344338,-21.020067,-14.651427,-12.042171,-16.949558,-1.462655,8.410458,3.7540715,7.7172475,1
0002_101_020_30s,0.19694777,0.10303917,1250.2729351465814,1147.8001434449525,2168.6202199835525,0.03927602856520898,-367.68048,142.187,-17.270302,1.2482052,14.657767,-24.032524,-10.621044,8.708216,-20.096169,-30.687452,-1.1508846,0.58654547,-20.849257,-16.156946,-13.101976,-19.42336,-5.587361,4.8742547,2.2543952,8.233912,1
0003_101_030_30s,0.20125988,0.10199279,1396.1795398080505,1242.2432375930825,2404.168795653541,0.04139959849071207,-374.53674,127.15379,-34.28338,-0.59306145,13.330867,-29.393618,-13.81568,7.9087157,-18.25401,-29.87379,-2.4863842,-1.1668653,-22.754747,-16.540123,-13.180845,-19.667768,-5.3915305,4.173785,3.07656,10.287269,1
0004_101_040_30s,0.2101796,0.092534006,1463.924711292723,1342.5600656805882,2680.9171221942725,0.0397779151751161,-383.83417,119.633965,-36.821476,3.1018133,15.638338,-32.990227,-16.113298,11.794656,-13.422544,-30.239874,-7.598692,-5.1991735,-23.084833,-16.914898,-14.581727,-17.881657,-1.1067575,5.97448,4.0767074,13.844455,1
0005_101_050_30s,0.20818003,0.0947083,1494.8486410470782,1393.9355445213132,2815.032977880708,0.03871216198239164,-377.59415,120.53817,-40.6364,9.087567,17.759989,-37.45025,-19.760292,8.009461,-16.999428,-33.952286,-11.462806,-8.589242,-25.71825,-15.742043,-11.726384,-14.687692,5.0933623,10.301249,4.9888344,15.323387,1
0006_101_060_30s,0.1939421,0.09799978,1490.9303247134055,1330.816717898866,2743.375077852893,0.03989167110100619,-374.1204,96.416,-38.05971,-2.7488563,11.946918,-33.499588,-20.443872,2.811227,-24.433764,-35.701015,-8.724984,-1.6629295,-10.695896,-1.4141358,2.3286774,-1.9887798,7.272336,9.21915,2.7622192,8.694171,1
0007_101_070_30s,0.1837167,0.104442775,1506.028564856571,1293.7109942600543,2707.3836288215944,0.04150900825996517,-369.50363,98.75155,-40.130405,-4.6514773,13.171042,-29.7477,-21.741936,-2.4042711,-26.454319,-35.502106,-7.1425276,1.432209,-5.5769525,8.46087,13.454614,3.8871617,6.8776097,4.8043814,-4.0269117,1.3308295,1
0008_101_080_30s,0.18944195,0.115679465,1420.7594536389731,1193.484261806354,2445.51854561726,0.04224596525493421,-365.1668,106.02604,-39.09344,-11.609016,7.5814886,-29.030706,-15.410833,2.0998363,-26.101086,-31.837793,-4.0792127,1.1692877,-4.1546535,6.351857,9.779756,5.032384,5.9521437,2.517631,-3.208656,-0.47629946,1
0009_101_090_30s,0.19637775,0.11667718,1358.8147877604808,1187.3228969994036,2366.8773544831174,0.040198547552244585,-361.8336,120.66874,-40.38152,-9.910273,7.0855703,-34.606,-18.076824,4.45863,-21.728636,-30.085281,-5.7193685,-4.168354,-16.716412,-9.66177,-1.8438578,0.08406903,7.661587,8.233828,3.3317091,7.4880605,1
0010_101_100_30s,0.19660525,0.116713405,1079.2875413329637,1024.2655469803271,1863.2553998161766,0.031090325984423375,-355.80356,148.3882,-17.979668,-8.947966,5.245912,-27.556293,-15.235539,-0.72912383,-22.219418,-23.29255,-2.830522,-7.58392,-21.741474,-16.154705,-10.889292,-10.290544,0.51012766,6.6752996,3.391254,6.2480516,1
0011_101_110_30s,0.19979978,0.10870333,1148.2771576957412,1059.008251326601,2030.771053538603,0.033938192361648606,-364.08252,146.03163,-10.351975,-7.1921763,0.5672854,-25.11491,-7.7735844,2.6777906,-22.12222,-24.769268,-3.2884326,-4.752414,-19.48135,-16.460655,-12.711857,-13.15632,-1.7668631,5.495094,3.0293305,7.4090066,1
0012_101_120_30s,0.20089835,0.114777826,1217.9709789983146,1161.4201086233566,2208.486645583398,0.03393611376499613,-360.85913,143.34357,-16.83383,-5.524211,1.8703177,-28.934752,-11.11326,1.5536399,-24.686651,-27.85336,-4.36817,-7.577381,-21.334637,-13.888817,-11.936935,-15.180082,-2.5612142,7.301955,6.9259763,11.744609,1
0013_101_130_30s,0.20732842,0.11529957,1476.3235309719619,1376.7419990928427,2645.7090017596265,0.04031305933146285,-365.01947,116.82054,-44.230236,-8.062318,1.0976528,-36.87938,-11.965986,7.4273133,-20.687307,-30.990742,-9.690014,-8.4831705,-20.485575,-14.659484,-11.140067,-7.33941,8.412547,15.373107,14.8690605,17.523893,1
0014_101_140_30s,0.20119244,0.124102905,1371.7507825579683,1243.7007690548376,2418.193710846798,0.03855966857343266,-356.68033,121.17444,-37.268818,-12.0981045,3.705007,-32.80479,-17.202896,3.0435395,-21.5302,-32.071182,-9.077911,-5.495771,-18.233952,-9.995312,-1.303327,-2.2378144,5.362604,10.048448,7.2072105,10.085718,1
0015_101_150_30s,0.18738228,0.12912174,1353.6500538425396,1128.406843462818,2286.652839589783,0.04126581245162539,-364.4204,105.96205,-34.044197,-22.394308,-1.3985617,-27.020483,-19.191746,-3.153387,-23.979628,-34.133533,-9.714174,1.5029509,-4.4904284,5.022566,12.601836,6.9204307,6.009025,3.172566,-2.2970405,3.1059248,1
0016_101_160_30s,0.1866654,0.1341369,1193.431560911013,995.57048617284,1919.738391604586,0.037937790247678016,-355.14307,119.54355,-27.067108,-25.213507,-1.4591035,-23.969437,-16.745056,-0.87497276,-24.290447,-34.68781,-9.252604,-0.3137755,-7.8448353,2.5857468,12.226804,6.969394,4.448866,1.5928872,-4.109481,-0.70969325,1
0017_101_170_30s,0.18827035,0.12510729,1120.7115807925384,980.2012086997868,1855.963777240954,0.035061012480650154,-370.36575,112.24436,-18.088785,-18.119213,-0.57484156,-25.39252,-16.50482,2.8764567,-20.398155,-33.235798,-10.284906,-2.9279726,-12.590158,-5.8753076,3.351432,1.2665063,2.1484811,3.6047091,0.12248339,2.7237742,1
0018_102_000_30s,0.2169918,0.4305403,889.4647344921973,856.4662005677704,1577.6654600728039,0.02523869848103715,-231.793,183.40245,-4.1112447,-40.740562,11.3692255,18.64002,-14.062772,-26.66973,-18.336575,-15.305578,-17.14949,-17.331148,-14.926634,-6.6837497,0.29298198,-3.8786712,-8.728277,-2.6086392,2.893157,-1.1586517,1
0019_102_010_30s,0.21126267,0.4762997,870.8290331804529,844.8238770517769,1482.8160336143092,0.025182576371420278,-221.5671,193.39452,-3.7700136,-44.844044,8.478662,19.478727,-14.390705,-28.401611,-17.62561,-14.677736,-18.958857,-18.405273,-14.062818,-6.855275,-0.56795985,-2.540667,-6.036507,-0.30375051,5.7975144,2.4668586,1
0020_102_020_30s,0.2083388,0.48572353,977.910820288513,949.70054586358,1677.0148593205786,0.028123790634674923,-205.9612,194.34302,-19.503662,-45.28831,15.991968,19.12261,-15.2688675,-22.274462,-16.281782,-22.219942,-20.553843,-11.067334,-10.277814,-8.09747,2.457111,3.6306412,-2.9654024,2.5180943,12.0732565,8.901194,1
0021_102_030_30s,0.20108694,0.48341942,1014.9804018785283,982.9484211114948,1729.014544885594,0.028819742586590556,-204.74718,190.14682,-27.036882,-45.828617,18.431128,16.963486,-17.383213,-18.565226,-14.195517,-26.58865,-22.358526,-7.0484624,-9.372501,-11.946135,1.9807177,7.05504,-1.5406526,2.840879,14.941287,11.567653,1
